Id,SalePrice
1461,107688
1462,166557
1463,152823
1464,183491
1465,227955
1466,186631
1467,157814
1468,174932
1469,199504
1470,74618
1471,199257
1472,145498
1473,119757
1474,174377
1475,168408
1476,325063
1477,244211
1478,285901
1479,261329
1480,347353
1481,287683
1482,233497
1483,166249
1484,187435
1485,201536
1486,223641
1487,301537
1488,247351
1489,191930
1490,175116
1491,219085
1492,114831
1493,176717
1494,293779
1495,286144
1496,208555
1497,220378
1498,190821
1499,190821
1500,160831
1501,177826
1502,183432
1503,236452
1504,262930
1505,208801
1506,197345
1507,238354
1508,201163
1509,186015
1510,128377
1511,126961
1512,145495
1513,194020
1514,158919
1515,204053
1516,180535
1517,154181
1518,151283
1519,208063
1520,122897
1521,126776
1522,182013
1523,102635
1524,118032
1525,112368
1526,113353
1527,80961
1528,160092
1529,124867
1530,170621
1531,133854
1532,110151
1533,135458
1534,161754
1535,153069
1536,129178
1537,7125
1538,245565
1539,288791
1540,191430
1541,175239
1542,151776
1543,244269
1544,67414
1545,154427
1546,158368
1547,141985
1548,171914
1549,116555
1550,147096
1551,150486
1552,141120
1553,180781
1554,166249
1555,155655
1556,127885
1557,138229
1558,141311
1559,136317
1560,155963
1561,133115
1562,107441
1563,105717
1564,137059
1565,141185
1566,208247
1567,66860
1568,206704
1569,87238
1570,150856
1571,114581
1572,124683
1573,209787
1574,132441
1575,205168
1576,195682
1577,192176
1578,173700
1579,111936
1580,221116
1581,115693
1582,106456
1583,270934
1584,246116
1585,136940
1586,27510
1587,113599
1588,126160
1589,89273
1590,152210
1591,79421
1592,132318
1593,137432
1594,183484
1595,155101
1596,248271
1597,186566
1598,218653
1599,212807
1600,222475
1601,-10855
1602,152888
1603,78929
1604,250491
1605,267117
1606,163848
1607,210830
1608,199811
1609,191683
1610,141431
1611,130348
1612,140569
1613,135274
1614,110705
1615,87549
1616,87549
1617,87549
1618,106333
1619,103809
1620,202268
1621,130963
1622,143586
1623,260159
1624,195375
1625,139033
1626,173023
1627,183737
1628,289715
1629,217176
1630,304431
1631,240147
1632,255910
1633,202028
1634,185461
1635,178072
1636,157998
1637,171603
1638,243161
1639,187616
1640,281522
1641,189833
1642,232939
1643,264531
1644,260651
1645,152330
1646,153442
1647,190390
1648,125175
1649,117170
1650,73510
1651,73510
1652,145498
1653,145498
1654,180042
1655,181893
1656,174377
1657,180042
1658,174377
1659,168408
1660,121481
1661,352033
1662,346983
1663,305728
1664,378206
1665,288241
1666,258866
1667,304308
1668,288672
1669,275618
1670,292674
1671,225304
1672,332329
1673,296919
1674,248028
1675,168343
1676,165141
1677,200550
1678,366999
1679,284604
1680,297354
1681,270999
1682,254555
1683,203444
1684,206585
1685,176471
1686,192053
1687,201536
1688,217299
1689,215082
1690,208617
1691,199565
1692,272535
1693,201536
1694,177949
1695,204984
1696,259293
1697,204984
1698,314591
1699,276168
1700,243838
1701,286575
1702,253570
1703,251230
1704,253940
1705,237314
1706,334668
1707,205353
1708,203260
1709,275556
1710,238299
1711,259666
1712,262191
1713,219269
1714,212558
1715,218715
1716,191930
1717,187188
1718,156028
1719,228506
1720,242240
1721,185526
1722,121111
1723,121111
1724,206215
1725,247594
1726,191249
1727,166742
1728,211757
1729,170929
1730,200608
1731,112860
1732,105717
1733,105717
1734,115323
1735,108673
1736,108673
1737,273151
1738,224996
1739,301965
1740,191003
1741,162062
1742,177826
1743,206338
1744,253447
1745,224072
1746,303015
1747,244207
1748,247283
1749,134781
1750,159599
1751,257815
1752,105717
1753,149066
1754,243838
1755,166003
1756,75357
1757,105717
1758,104175
1759,158919
1760,133365
1761,132072
1762,184288
1763,181766
1764,111629
1765,188848
1766,174193
1767,181212
1768,122958
1769,198765
1770,145560
1771,126530
1772,137613
1773,94199
1774,167416
1775,150117
1776,120988
1777,101346
1778,116000
1779,127022
1780,210957
1781,126407
1782,36869
1783,135766
1784,84286
1785,118895
1786,166674
1787,220993
1788,-7222
1789,104609
1790,32744
1791,241371
1792,169698
1793,148762
1794,143282
1795,152764
1796,155043
1797,154488
1798,116616
1799,97589
1800,125360
1801,110271
1802,176779
1803,195929
1804,110459
1805,149070
1806,169574
1807,204426
1808,132934
1809,142663
1810,148451
1811,125049
1812,141616
1813,134288
1814,73325
1815,-6422
1816,101284
1817,113288
1818,208305
1819,164033
1820,70554
1821,175855
1822,178380
1823,37177
1824,172900
1825,154362
1826,122835
1827,113784
1828,149929
1829,118525
1830,193589
1831,236634
1832,183549
1833,203564
1834,172592
1835,231707
1836,187308
1837,75234
1838,171114
1839,63658
1840,126407
1841,123451
1842,120988
1843,117294
1844,148393
1845,161751
1846,154796
1847,180039
1848,-3466
1849,105468
1850,118587
1851,185646
1852,119572
1853,117109
1854,182262
1855,167111
1856,232631
1857,176652
1858,189706
1859,147034
1860,128192
1861,145680
1862,288542
1863,288542
1864,288542
1865,284792
1866,287255
1867,239531
1868,262314
1869,196363
1870,226354
1871,241378
1872,172284
1873,225242
1874,113476
1875,207016
1876,193835
1877,205846
1878,208801
1879,108365
1880,108796
1881,216129
1882,283619
1883,223148
1884,232077
1885,242302
1886,261698
