208500	1710	7
181500	1262	6
223500	1786	7
140000	1717	7
250000	2198	8
143000	1362	5
307000	1694	8
200000	2090	7
129900	1774	7
118000	1077	5
129500	1040	5
345000	2324	9
144000	912	5
279500	1494	7
157000	1253	6
132000	854	7
149000	1004	6
90000	1296	4
159000	1114	5
139000	1339	5
325300	2376	8
139400	1108	7
230000	1795	8
129900	1060	5
154000	1060	5
256300	1600	8
134800	900	5
306000	1704	8
207500	1600	5
68500	520	4
40000	1317	4
149350	1228	5
179900	1234	8
165500	1700	5
277500	1561	9
309000	2452	8
145000	1097	5
153000	1297	5
109000	1057	5
82000	1152	4
160000	1324	6
170000	1328	5
144000	884	5
130250	938	5
141000	1150	5
319900	1752	9
239686	2149	7
249700	1656	8
113000	1452	4
127000	955	5
177000	1470	6
114500	1176	6
110000	816	5
385000	1842	9
130000	1360	5
180500	1425	6
172500	1739	8
196500	1720	7
438780	2945	10
124900	780	5
158000	1158	6
101000	1111	5
202500	1370	8
140000	1710	7
219500	2034	7
317000	2473	8
180000	2207	7
226000	1479	7
80000	747	4
225000	2287	7
244000	2223	7
129500	845	4
185000	1718	7
144900	1086	5
107400	1605	3
91000	988	4
135750	952	4
127000	1285	5
136500	1768	4
110000	1230	5
193500	2142	6
153500	1337	6
245000	1563	8
126500	1065	5
168500	1474	7
260000	2417	8
174000	1560	6
164500	1224	6
85000	1526	3
123600	990	4
109900	1040	4
98600	1235	5
163500	964	5
133900	2291	6
204750	1786	6
185000	1470	6
214000	1588	7
94750	960	4
83000	835	5
128950	1225	4
205000	1610	6
178000	1732	6
118964	1535	5
198900	1226	7
169500	1818	7
250000	1992	8
100000	1047	4
115000	789	5
115000	1517	5
190000	1844	6
136900	1855	6
180000	1430	7
383970	2696	7
217000	2259	6
259500	2320	6
176000	1458	6
139000	1092	5
155000	1125	5
320000	3222	7
163990	1456	6
180000	988	6
100000	1123	4
136000	1080	6
153900	1199	6
181000	1586	6
84500	754	6
128000	958	6
87000	840	5
155000	1348	6
150000	1053	5
226000	2157	7
244000	2054	6
150750	1327	5
220000	1296	8
180000	1721	5
174000	1682	7
143000	1214	5
171000	1959	7
230000	1852	8
231500	1764	6
115000	864	4
260000	1734	7
166000	1385	5
204000	1501	7
125000	1728	5
130000	1709	6
105000	875	5
222500	2035	7
141000	1080	7
115000	1344	5
122000	969	5
372402	1710	8
190000	1993	6
235000	1252	6
125000	1200	6
79000	1096	6
109500	1040	5
269500	1968	8
254900	1947	7
320000	2462	7
162500	1232	6
412500	2668	9
220000	1541	7
103200	882	4
152000	1616	6
127500	1355	5
190000	1867	5
325624	2161	8
183500	1720	7
228000	1707	8
128500	1382	5
215000	1656	6
239000	1767	7
163000	1362	6
184000	1651	6
243000	2158	6
211000	2060	6
172500	1920	5
501837	2234	9
100000	968	5
177000	1525	6
200100	1802	7
120000	1340	5
200000	2082	7
127000	1252	5
475000	3608	10
173000	1217	7
135000	1656	5
153337	1224	5
286000	1593	8
315000	2727	8
184000	1479	7
192000	1431	7
130000	1709	7
127000	864	5
148500	1456	6
311872	1726	7
235000	3112	8
104000	2229	6
274900	1713	8
140000	1121	4
171500	1279	6
112000	1310	6
149000	848	6
110000	1284	5
180500	1442	7
143900	1696	5
141000	1100	4
277000	2062	7
145000	1092	6
98000	864	5
186000	1212	6
252678	1852	7
156000	990	5
161750	1392	6
134450	1236	5
210000	1436	7
107000	1328	4
311500	1954	7
167240	1248	7
204900	1498	7
200000	2267	6
179900	1552	6
97000	864	4
386250	2392	10
112000	1302	5
290000	2520	7
106000	987	6
125000	912	5
192500	1555	7
148000	1194	6
403000	2794	8
94500	987	6
128200	894	5
216500	1960	6
89500	987	6
185500	1414	7
194500	1744	7
318000	1694	8
113000	1487	6
262500	1566	8
110500	866	5
79000	1440	5
120000	1217	6
205000	2110	7
241500	1872	7
137000	1928	6
140000	1375	6
180000	1668	7
277000	2144	6
76500	1306	3
235000	1625	8
173000	1640	6
158000	1302	6
145000	1314	5
230000	2291	7
207500	1728	6
220000	1604	7
231500	1792	7
97000	882	5
176000	1382	6
276000	2574	8
151000	1212	6
130000	1316	5
73000	764	5
175500	1422	6
185000	1511	6
179500	2192	5
120500	778	5
148000	1113	6
266000	1939	8
241500	1363	7
290000	2270	8
139000	1632	6
124500	816	5
205000	1548	7
201000	1560	7
141000	864	4
415298	2121	9
192000	2022	7
228500	1982	7
185000	1262	6
207500	1314	7
244600	1468	8
179200	1575	6
164700	1250	7
159000	1734	6
88000	858	4
122000	900	5
153575	1396	6
233230	1919	8
135900	1716	5
131000	1716	5
235000	2263	7
167000	1644	6
142500	1003	6
152000	1558	5
239000	1950	7
175000	1743	6
158500	1152	6
157000	1336	5
267000	2452	8
205000	1541	7
149900	894	5
295000	3493	7
305900	2000	8
225000	2243	7
89500	1406	6
82500	861	4
360000	1944	9
165600	1501	6
132000	972	6
119900	1118	5
375000	2036	7
178000	1641	7
188500	1432	7
260000	2353	7
270000	1959	8
260000	2646	7
187500	1472	7
342643	2596	9
354000	2468	8
301000	2730	7
126175	1163	3
242000	2978	7
87000	803	5
324000	1719	8
145250	1383	6
214500	2134	6
78000	1192	5
119000	1728	5
139000	1056	5
284000	1629	8
207000	1358	7
192000	1638	6
228950	1786	5
377426	1922	9
214000	1536	7
202500	1621	7
155000	1215	6
202900	1908	8
82000	841	4
87500	1040	3
266000	1684	9
85000	1112	5
140200	1577	6
151500	958	6
157500	1478	6
154000	1626	7
437154	2728	9
318061	1869	9
190000	1453	7
95000	1111	5
105900	720	6
140000	1595	6
177500	1200	6
173000	1167	6
134000	1142	5
130000	1352	5
280000	1924	8
156000	912	6
145000	1505	5
198500	1922	7
118000	987	6
190000	1574	6
147000	1344	5
159000	1394	6
165000	1431	6
132000	1268	5
162000	1287	5
172400	1664	6
134432	1588	4
125000	752	6
