Id,SalePrice
1461,108503
1462,166464
1463,152140
1464,182835
1465,227915
1466,185872
1467,158010
1468,174560
1469,199363
1470,75485
1471,199124
1472,146104
1473,120171
1474,174025
1475,169299
1476,322846
1477,243632
1478,284984
1479,260182
1480,344397
1481,285661
1482,233273
1483,166166
1484,187694
1485,201327
1486,222699
1487,299056
1488,246668
1489,192040
1490,174739
1491,218294
1492,115408
1493,176287
1494,291555
1495,284173
1496,208114
1497,219544
1498,190969
1499,190969
1500,160928
1501,177358
1502,183825
1503,236131
1504,261729
1505,208352
1506,196230
1507,235879
1508,199921
1509,185276
1510,128505
1511,127136
1512,145055
1513,193015
1514,158033
1515,201670
1516,179978
1517,154498
1518,150651
1519,207638
1520,123207
1521,126958
1522,181407
1523,102572
1524,118504
1525,113027
1526,113979
1527,81617
1528,160213
1529,125112
1530,170393
1531,132755
1532,110884
1533,135352
1534,161821
1535,152378
1536,129279
1537,8140
1538,244941
1539,286733
1540,189466
1541,174858
1542,151128
1543,242642
1544,68520
1545,154736
1546,158546
1547,141662
1548,171643
1549,117075
1550,146603
1551,150926
1552,139780
1553,180216
1554,166166
1555,154878
1556,128029
1557,138030
1558,142056
1559,135136
1560,155176
1561,132041
1562,108264
1563,106597
1564,136899
1565,140888
1566,207816
1567,67984
1568,205279
1569,86640
1570,151283
1571,114121
1572,124933
1573,209304
1574,132434
1575,204840
1576,194623
1577,192278
1578,173370
1579,112610
1580,220258
1581,116242
1582,107312
1583,269469
1584,244428
1585,137829
1586,28894
1587,114218
1588,126362
1589,89654
1590,152593
1591,80128
1592,132315
1593,138305
1594,180738
1595,154342
1596,246512
1597,184763
1598,217877
1599,213270
1600,222617
1601,-9243
1602,153248
1603,79652
1604,249704
1605,265778
1606,163845
1607,209268
1608,199660
1609,191802
1610,141126
1611,130410
1612,140293
1613,135173
1614,111420
1615,87987
1616,87987
1617,87987
1618,107193
1619,104752
1620,199944
1621,131006
1622,143210
1623,259051
1624,194325
1625,139853
1626,172715
1627,183074
1628,287626
1629,216448
1630,301854
1631,239703
1632,254943
1633,201803
1634,184740
1635,177597
1636,158189
1637,170297
1638,241571
1639,186824
1640,278659
1641,188967
1642,231689
1643,263277
1644,259527
1645,151663
1646,153784
1647,190552
1648,125410
1649,117670
1650,74413
1651,74413
1652,146104
1653,146104
1654,179502
1655,182336
1656,174025
1657,179502
1658,174025
1659,169299
1660,121838
1661,348921
1662,344040
1663,304153
1664,375271
1665,287246
1666,257800
1667,301735
1668,287663
1669,275042
1670,291532
1671,224307
1672,329871
1673,294591
1674,247323
1675,168190
1676,165095
1677,200375
1678,364436
1679,282685
1680,296057
1681,270577
1682,253633
1683,203173
1684,206209
1685,176049
1686,192159
1687,201327
1688,216567
1689,214424
1690,208173
1691,199422
1692,271016
1693,201327
1694,177478
1695,204661
1696,257168
1697,204661
1698,311677
1699,274529
1700,242226
1701,284590
1702,252681
1703,250418
1704,253038
1705,236964
1706,332133
1707,205018
1708,202994
1709,274982
1710,237917
1711,258574
1712,261015
1713,218472
1714,211983
1715,217937
1716,192040
1717,187456
1718,156284
1719,227402
1720,241727
1721,185849
1722,121481
1723,121481
1724,205852
1725,245857
1726,190336
1727,166643
1728,211209
1729,170691
1730,199385
1731,113503
1732,106597
1733,106597
1734,115885
1735,109455
1736,109455
1737,271612
1738,224009
1739,298424
1740,190098
1741,162118
1742,177358
1743,205971
1744,252562
1745,223116
1746,300485
1747,242583
1748,244511
1749,134697
1750,159737
1751,255740
1752,106597
1753,148508
1754,242226
1755,165928
1756,76199
1757,106597
1758,104060
1759,158033
1760,133327
1761,132077
1762,182561
1763,181169
1764,112313
1765,188015
1766,173846
1767,180633
1768,123267
1769,198648
1770,146164
1771,126719
1772,137435
1773,94416
1774,166249
1775,150569
1776,121361
1777,102371
1778,116539
1779,127196
1780,210436
1781,126600
1782,37943
1783,135649
1784,84832
1785,119337
1786,164486
1787,220139
1788,-5731
1789,105526
1790,33954
1791,238796
1792,169500
1793,149259
1794,143961
1795,153129
1796,155332
1797,154796
1798,117135
1799,98739
1800,125588
1801,109954
1802,176346
1803,194861
1804,111181
1805,149557
1806,169381
1807,203076
1808,132911
1809,142317
1810,147913
1811,124242
1812,141305
1813,134220
1814,74235
1815,-4957
1816,102311
1817,112871
1818,206827
1819,164023
1820,71556
1821,175453
1822,177894
1823,38241
1824,172596
1825,153628
1826,123147
1827,114396
1828,149342
1829,118980
1830,192599
1831,235260
1832,181846
1833,202243
1834,172298
1835,230498
1836,186526
1837,76080
1838,170869
1839,64888
1840,126600
1841,123743
1842,121361
1843,117790
1844,148902
1845,160772
1846,155093
1847,178453
1848,-2099
1849,105311
1850,119040
1851,184919
1852,119992
1853,117611
1854,182694
1855,167000
1856,231391
1857,175179
1858,187799
1859,146544
1860,128327
1861,145234
1862,285446
1863,285446
1864,285446
1865,283912
1866,286293
1867,239107
1868,261134
1869,196326
1870,226367
1871,240893
1872,172001
1873,224247
1874,114099
1875,206625
1876,192837
1877,205494
1878,208352
1879,109157
1880,109574
1881,215436
1882,281732
1883,222223
1884,230855
1885,241786
1886,260539
1887,203887
1888,247085
1889,170453
1890,91380
1891,151164
1892,75128
1893,136602
1894,155057
1895,148032
1896,132434
1897,130648
1898,161285
1899,160689
1900,192635
1901,148449
1902,130946
1903,267170
1904,121361
1905,180276
1906,145829
1907,200814
1908,148783
1909,160511
1910,160511
1911,205339
1912,260324
1913,184227
1914,57030
1915,249823
1916,6830
1917,273874
1918,142473
1919,163964
1920,150116
1921,305106
1922,281590
1923,220519
1924,207578
1925,239428
1926,301653
1927,115170
1928,138745
1929,102549
1930,152295
1931,107729
1932,131780
1933,152318
1934,182835
1935,174858
1936,182835
1937,184740
1938,137554
1939,251847
1940,227915
1941,184562
1942,189086
1943,231309
1944,300544
1945,296057
1946,175096
1947,285698
1948,175930
1949,220020
1950,194540
1951,242404
1952,225616
1953,159439
1954,241214
1955,133030
1956,288601
1957,173310
1958,291019
1959,161843
1960,78700
1961,106597
1962,146104
1963,146104
1964,132673
1965,174025
1966,182336
1967,245894
1968,298401
1969,299986
1970,347493
1971,382177
1972,322668
1973,276017
1974,290543
1975,363127
1976,245477
1977,309415
1978,311856
1979,294985
1980,200910
1981,291056
1982,231606
1983,231606
1984,216329
1985,206149
1986,213353
1987,193707
1988,177537
1989,221925
1990,237761
1991,200375
1992,232165
1993,203708
1994,257764
1995,217818
1996,282625
1997,313202
1998,271136
1999,246036
2000,300604
2001,250322
2002,213472
2003,262503
2004,263277
2005,238631
2006,233392
2007,250537
2008,192040
2009,188312
2010,218532
2011,157296
2012,188706
2013,183133
2014,187360
2015,218175
2016,187181
2017,222937
2018,113741
2019,106597
2020,108145
2021,106597
2022,172477
